page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE INA-CBG,DESKRIPSI KODE INA-CBG,TARIF INA-CBG
634,50.0,109.4,452.8,784.8,-634- TARIF INA-CBG REGIONAL 5 RUMAH SAKIT KELAS D PEMERINTAH RAWAT JALAN,,,,,1,B-2-10-0,PROSEDUR PADA HATI DAN PANKREAS,1.092.600
634,50.0,109.4,452.8,784.8,-634- TARIF INA-CBG REGIONAL 5 RUMAH SAKIT KELAS D PEMERINTAH RAWAT JALAN,,,,,2,B-2-11-0,PROSEDUR BESAR PADA SALURAN EMPEDU,1.206.600
634,50.0,109.4,452.8,784.8,-634- TARIF INA-CBG REGIONAL 5 RUMAH SAKIT KELAS D PEMERINTAH RAWAT JALAN,,,,,3,B-2-12-0,PROSEDUR KOLESISTEKTOMI TANPA LAPAROSKOPI,2.525.700
634,50.0,109.4,452.8,784.8,-634- TARIF INA-CBG REGIONAL 5 RUMAH SAKIT KELAS D PEMERINTAH RAWAT JALAN,,,,,4,B-2-13-0,PROSEDUR LAIN-LAIN PADA HEPATOBILIARI & PANKREAS,2.562.100
634,50.0,109.4,452.8,784.8,-634- TARIF INA-CBG REGIONAL 5 RUMAH SAKIT KELAS D PEMERINTAH RAWAT JALAN,,,,,5,B-2-14-0,PROSEDUR KOLESISTEKTOMI DENGAN LAPAROSKOPI,3.079.300
634,50.0,109.4,452.8,784.8,-634- TARIF INA-CBG REGIONAL 5 RUMAH SAKIT KELAS D PEMERINTAH RAWAT JALAN,,,,,6,B-3-10-0,PROSEDUR PADA PERKUTAN HATI & SALURAN EMPEDU,1.128.700
634,50.0,109.4,452.8,784.8,-634- TARIF INA-CBG REGIONAL 5 RUMAH SAKIT KELAS D PEMERINTAH RAWAT JALAN,,,,,7,B-3-11-0,PROSEDUR ENDOSKOPI SALURAN EMPEDU,966.100
634,50.0,109.4,452.8,784.8,-634- TARIF INA-CBG REGIONAL 5 RUMAH SAKIT KELAS D PEMERINTAH RAWAT JALAN,,,,,8,B-3-12-0,PROSEDUR LAIN-LAIN PADA SISTEM HEPATOBILIARI DAN PANKREAS,416.800
634,50.0,109.4,452.8,784.8,-634- TARIF INA-CBG REGIONAL 5 RUMAH SAKIT KELAS D PEMERINTAH RAWAT JALAN,,,,,9,C-3-10-0,PROSEDUR RADIOTERAPI,-
634,50.0,109.4,452.8,784.8,-634- TARIF INA-CBG REGIONAL 5 RUMAH SAKIT KELAS D PEMERINTAH RAWAT JALAN,,,,,10,C-3-11-0,KEMOTERAPI PADA TUMOR PARU & KANDUNG KEMIH,940.300
634,50.0,109.4,452.8,784.8,-634- TARIF INA-CBG REGIONAL 5 RUMAH SAKIT KELAS D PEMERINTAH RAWAT JALAN,,,,,1,C-3-12-0,KEMOTERAPI PADA TUMOR KOLON,1.001.800
634,50.0,109.4,452.8,784.8,-634- TARIF INA-CBG REGIONAL 5 RUMAH SAKIT KELAS D PEMERINTAH RAWAT JALAN,,,,,12,C-3-13-0,KEMOTERAPI PADA TUMOR PAYUDARA ATAU OVARIUM,1.386.500
634,50.0,109.4,452.8,784.8,-634- TARIF INA-CBG REGIONAL 5 RUMAH SAKIT KELAS D PEMERINTAH RAWAT JALAN,,,,,13,C-3-14-0,KEMOTERAPI PADA TUMOR GASTROINTESTINAL,1.838.500
