page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE SPESIAL,DESKRIPSI SPESIAL CMG,KODE INA- CBG,KELAS RAWAT,A SWASTA,B SWASTA,C SWASTA,D SWASTA
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,1,DD-01-I,Streptokinase,I-4-10-I,1,4.900.800,4 .900.800,4 .900.800,4 .900.800
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,2,4.900.800,4 .900.800,4 .900.800,4 .900.800
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,3,4.900.800,4 .900.800,4 .900.800,4 .900.800
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,I-4-10-II,1,4.900.800,4 .900.800,4 .900.800,4 .900.800
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,2,4.900.800,4 .900.800,4 .900.800,4 .900.800
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,3,4.900.800,4 .900.800,4 .900.800,4 .900.800
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,I-4-10-III,1,4.900.800,4 .900.800,4 .900.800,4 .900.800
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,2,4.900.800,4 .900.800,4 .900.800,4 .900.800
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,3,4.900.800,4 .900.800,4 .900.800,4 .900.800
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,2,DD-02-II,Deferiprone,D-4-13-I,1,6.023.500,6 .023.500,6 .023.500,6 .023.500
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,2,6.023.500,6 .023.500,6 .023.500,6 .023.500
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,3,6.023.500,6 .023.500,6 .023.500,6 .023.500
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,D-4-13-II,1,6.023.500,6 .023.500,6 .023.500,6 .023.500
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,2,6.023.500,6 .023.500,6 .023.500,6 .023.500
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,3,6.023.500,6 .023.500,6 .023.500,6 .023.500
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,D-4-13-III,1,6.023.500,6 .023.500,6 .023.500,6 .023.500
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,2,6.023.500,6 .023.500,6 .023.500,6 .023.500
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,3,6.023.500,6 .023.500,6 .023.500,6 .023.500
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,3,DD-03-II,Deferoksamin,D-4-13-I,1,6.023.500,6 .023.500,6 .023.500,6 .023.500
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,2,6.023.500,6 .023.500,6 .023.500,6 .023.500
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,3,6.023.500,6 .023.500,6 .023.500,6 .023.500
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,D-4-13-II,1,6.023.500,6 .023.500,6 .023.500,6 .023.500
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,2,6.023.500,6 .023.500,6 .023.500,6 .023.500
52,90.7,157.0,497.9,735.9,-51- -52- TARIF INA-CBG REGIONAL 2 TOP UP SPESIAL CMG,,,,,,,,,3,6.023.500,6 .023.500,6 .023.500,6 .023.500
