page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE INA-CBG,DESKRIPSI KODE INA-CBG,TARIF INA-CBG
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,1,B-2-10-0,PROSEDUR PADA HATI DAN PANKREAS,1.138.000
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,2,B-2-11-0,PROSEDUR BESAR PADA SALURAN EMPEDU,1.243.100
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,3,B-2-12-0,PROSEDUR KOLESISTEKTOMI TANPA LAPAROSKOPI,2.630.500
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,4,B-2-13-0,PROSEDUR LAIN-LAIN PADA HEPATOBILIARI & PANKREAS,2.668.500
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,5,B-2-14-0,PROSEDUR KOLESISTEKTOMI DENGAN LAPAROSKOPI,3.207.100
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,6,B-3-10-0,PROSEDUR PADA PERKUTAN HATI & SALURAN EMPEDU,1.175.600
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,7,B-3-11-0,PROSEDUR ENDOSKOPI SALURAN EMPEDU,1.005.300
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,8,B-3-12-0,PROSEDUR LAIN-LAIN PADA SISTEM HEPATOBILIARI DAN PANKREAS,434.100
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,9,C-3-10-0,PROSEDUR RADIOTERAPI,769.100
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,10,C-3-11-0,KEMOTERAPI PADA TUMOR PARU & KANDUNG KEMIH,972.300
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,1,C-3-12-0,KEMOTERAPI PADA TUMOR KOLON,1.026.500
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,12,C-3-13-0,KEMOTERAPI PADA TUMOR PAYUDARA ATAU OVARIUM,1.465.000
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,13,C-3-14-0,KEMOTERAPI PADA TUMOR GASTROINTESTINAL,1.944.700
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,14,C-3-15-0,"KEMOTERAPI PADA TUMOR MELANOMA, GINJAL ATAU PROSTAT",1.432.800
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,15,C-3-16-0,KEMOTERAPI PADA TUMOR OTAK,745.900
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,16,C-3-17-0,KEMOTERAPI PADA TUMOR KEPALA ATAU LEHER,1.403.800
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,17,C-3-18-0,KEMOTERAPI PADA LEUKEMIA AKUT,694.100
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,18,C-3-19-0,"KEMOTERAPI PADA TUMOR LIMFOMA, MYELOMA ATAU TESTIS",1.091.500
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,19,C-3-20-0,KEMOTERAPI PADA TUMOR KULIT,2.032.100
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,20,C-3-21-0,KEMOTERAPI PADA TUMOR GINEKOLOGI,1.338.900
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,21,C-3-22-0,KEMOTERAPI PADA TUMOR METASTASE,1.718.700
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,2,C-3-23-0,KEMOTERAPI PADA TUMOR LAIN-LAIN,419.300
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,23,D-2-10-0,PROSEDUR PENCANGKOKAN SUMSUM TULANG,978.200
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,24,D-2-11-0,PROSEDUR LIMPA,2.214.400
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,25,D-2-21-0,PROSEDUR BESAR PADA NODUL LIMPA DAN TYMUS,2.212.600
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,26,D-2-22-0,PROSEDUR KECIL PADA NODUL LIMPA DAN TYMUS,543.900
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,27,D-3-10-0,PROSEDUR TRANSFUSI & TERAPI SUMSUM TULANG,1.291.800
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,28,D-3-11-0,PROSEDUR DIAGNOSTIK DARAH DAN ORGAN PEMBENTUK DARAH,1.112.000
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,29,E-2-10-0,PROSEDUR PADA KELENJAR ADRENAL,641.800
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,30,E-2-21-0,PROSEDUR BESAR PADA KELENJAR TIROID DAN PARATIROID,845.100
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,31,E-2-22-0,"PROSEDUR KECIL PADA KELENJAR TIROID,PARATIROID DAN SALURAN THYROGLOSSAL",658.200
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,32,E-3-10-0,PROSEDUR DIAGNOSTIK PADA KELENJAR ENDOKRIN,548.900
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,3,F-3-10-0,TERAPI SHOCK,470.200
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,34,F-5-10-0,PELAYANAN KESEHATAN MENTAL EKSTENSIF,408.100
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,35,F-5-11-0,TERAPI KELOMPOK,376.800
172,50.0,109.4,452.8,784.8,-172- TARIF INA-CBG REGIONAL 1 RUMAH SAKIT KELAS C SWASTA RAWAT JALAN,,,,,36,F-5-12-0,PROSEDUR TES DIAGNOSTIK KESEHATAN JIWA,361.800
