page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE SPESIAL,DESKRIPSI SPESIAL CMG,KODE INA- CBG,KELAS RAWAT,A PEMERINTAH,B PEMERINTAH,C PEMERINTAH,D PEMERINTAH
56,90.0,157.0,498.6,735.9,-55- -56- TARIF INA-CBG REGIONAL 3 TOP UP SPESIAL CMG,,,,,1,DD-01-I,Streptokinase,I-4-10-I,1,4.917.500,4 .917.500,4 .917.500,4 .917.500
56,90.0,157.0,498.6,735.9,-55- -56- TARIF INA-CBG REGIONAL 3 TOP UP SPESIAL CMG,,,,,,,,,2,4.917.500,4 .917.500,4 .917.500,4 .917.500
56,90.0,157.0,498.6,735.9,-55- -56- TARIF INA-CBG REGIONAL 3 TOP UP SPESIAL CMG,,,,,,,,,3,4.917.500,4 .917.500,4 .917.500,4 .917.500
56,90.0,157.0,498.6,735.9,-55- -56- TARIF INA-CBG REGIONAL 3 TOP UP SPESIAL CMG,,,,,,,,I-4-10-II,1,4.917.500,4 .917.500,4 .917.500,4 .917.500
56,90.0,157.0,498.6,735.9,-55- -56- TARIF INA-CBG REGIONAL 3 TOP UP SPESIAL CMG,,,,,,,,,2,4.917.500,4 .917.500,4 .917.500,4 .917.500
56,90.0,157.0,498.6,735.9,-55- -56- TARIF INA-CBG REGIONAL 3 TOP UP SPESIAL CMG,,,,,,,,,3,4.917.500,4 .917.500,4 .917.500,4 .917.500
56,90.0,157.0,498.6,735.9,-55- -56- TARIF INA-CBG REGIONAL 3 TOP UP SPESIAL CMG,,,,,,,,I-4-10-III,1,4.917.500,4 .917.500,4 .917.500,4 .917.500
56,90.0,157.0,498.6,735.9,-55- -56- TARIF INA-CBG REGIONAL 3 TOP UP SPESIAL CMG,,,,,,,,,2,4.917.500,4 .917.500,4 .917.500,4 .917.500
56,90.0,157.0,498.6,735.9,-55- -56- TARIF INA-CBG REGIONAL 3 TOP UP SPESIAL CMG,,,,,,,,,3,4.917.500,4 .917.500,4 .917.500,4 .917.500
56,90.0,157.0,498.6,735.9,-55- -56- TARIF INA-CBG REGIONAL 3 TOP UP SPESIAL CMG,,,,,2,DD-02-II,Deferiprone,D-4-13-I,1,6.044.200,6 .044.200,6 .044.200,6 .044.200
56,90.0,157.0,498.6,735.9,-55- -56- TARIF INA-CBG REGIONAL 3 TOP UP SPESIAL CMG,,,,,,,,,2,6.044.200,6 .044.200,6 .044.200,6 .044.200
56,90.0,157.0,498.6,735.9,-55- -56- TARIF INA-CBG REGIONAL 3 TOP UP SPESIAL CMG,,,,,,,,,3,6.044.200,6 .044.200,6 .044.200,6 .044.200
